Occupation,onetsoc_code,occ_type,em_2018,em_2028,p_2018,p_2028,change,percent_change,openings
"Education administrators, elementary and secondary school",Nov-32,Line item,275.40,286.60,0.20,0.20,11.20,4.10,22.90
"Education administrators, postsecondary",Nov-33,Line item,192.60,206.10,0.10,0.10,13.50,7.00,16.80
"Education administrators, all other",Nov-39,Line item,47.40,51.10,0.00,0.00,3.70,7.80,4.20
Architectural and engineering managers,Nov-41,Line item,192.50,197.90,0.10,0.10,5.40,2.80,14.60
Food service managers,Nov-51,Line item,356.40,394.90,0.20,0.20,38.50,10.80,46.90
Funeral service managers,Nov-61,Line item,23.50,24.70,0.00,0.00,1.20,5.20,1.90
Gaming managers,Nov-71,Line item,5.90,6.30,0.00,0.00,0.40,6.50,0.70
Lodging managers,Nov-81,Line item,52.60,53.10,0.00,0.00,0.60,1.10,5.50
Medical and health services managers,Nov-11,Line item,406.10,477.60,0.30,0.30,71.60,17.60,42.20
Natural sciences managers,Nov-21,Line item,63.50,67.20,0.00,0.00,3.70,5.90,6.10
Postmasters and mail superintendents,Nov-31,Line item,13.30,9.60,0.00,0.00,-3.70,-27.50,0.50
"Property, real estate, and community association managers",Nov-41,Line item,363.00,389.50,0.20,0.20,26.50,7.30,31.60
Social and community service managers,Nov-51,Line item,168.80,190.70,0.10,0.10,21.90,13.00,17.80
Emergency management directors,Nov-61,Line item,9.90,10.40,0.00,0.00,0.50,4.90,0.90
"Managers, all other",Nov-99,Line item,1079.60,1148.10,0.70,0.70,68.50,6.30,91.30
Business and financial operations occupations,13-0000,Summary,8589.50,9181.30,5.30,5.40,591.80,6.90,897.80
Business operations specialists,13-1000,Summary,5534.90,5945.80,3.40,3.50,410.90,7.40,602.70
"Agents and business managers of artists, performers, and athletes",13-1011,Line item,19.40,21.50,0.00,0.00,2.00,10.40,2.60
Buyers and purchasing agents,13-1020,Line item,432.20,400.20,0.30,0.20,-32.00,-7.40,40.20
"Claims adjusters, appraisers, examiners, and investigators",13-1030,Summary,346.00,332.90,0.20,0.20,-13.00,-3.80,27.40
"Claims adjusters, examiners, and investigators",13-1031,Line item,328.50,314.70,0.20,0.20,-13.80,-4.20,25.80
"Insurance appraisers, auto damage",13-1032,Line item,17.40,18.20,0.00,0.00,0.80,4.50,1.60
Compliance officers,13-1041,Line item,319.90,338.50,0.20,0.20,18.60,5.80,30.70
Cost estimators,13-1051,Line item,217.40,236.10,0.10,0.10,18.70,8.60,24.20
Human resources workers,13-1070,Summary,706.70,733.30,0.40,0.40,26.60,3.80,74.90
Human resources specialists,13-1071,Line item,625.70,658.70,0.40,0.40,33.00,5.30,67.70
Farm labor contractors,13-1074,Line item,1.90,2.00,0.00,0.00,0.10,7.60,0.20
Labor relations specialists,13-1075,Line item,79.20,72.60,0.00,0.00,-6.50,-8.30,7.00
Logisticians,13-1081,Line item,174.90,183.30,0.10,0.10,8.40,4.80,17.90
Management analysts,13-1111,Line item,876.30,994.60,0.50,0.60,118.30,13.50,99.90
"Meeting, convention, and event planners",13-1121,Line item,134.10,143.80,0.10,0.10,9.60,7.20,16.80
Fundraisers,13-1131,Line item,95.40,104.20,0.10,0.10,8.90,9.30,11.30
"Compensation, benefits, and job analysis specialists",13-1141,Line item,88.70,94.00,0.10,0.10,5.30,5.90,9.20
Training and development specialists,13-1151,Line item,306.40,335.30,0.20,0.20,28.90,9.40,37.30
Market research analysts and marketing specialists,13-1161,Line item,681.90,821.10,0.40,0.50,139.20,20.40,90.70
"Business operations specialists, all other",13-1199,Line item,1135.70,1207.00,0.70,0.70,71.30,6.30,119.60
Financial specialists,13-2000,Summary,3054.60,3235.50,1.90,1.90,180.90,5.90,295.20
Accountants and auditors,13-2011,Line item,1424.00,1514.70,0.90,0.90,90.70,6.40,146.00
Appraisers and assessors of real estate,13-2021,Line item,80.10,85.70,0.00,0.10,5.60,7.00,6.70
Budget analysts,13-2031,Line item,56.90,59.40,0.00,0.00,2.40,4.20,4.80
Credit analysts,13-2041,Line item,75.80,79.50,0.00,0.00,3.70,4.90,7.40
Financial analysts and advisors,13-2050,Summary,711.60,745.60,0.40,0.40,34.00,4.80,62.40
Financial analysts,13-2051,Line item,329.50,349.80,0.20,0.20,20.30,6.20,30.90
Personal financial advisors,13-2052,Line item,271.70,290.80,0.20,0.20,19.10,7.00,23.20
Insurance underwriters,13-2053,Line item,110.40,105.00,0.10,0.10,-5.40,-4.90,8.40
Financial examiners,13-2061,Line item,60.90,65.20,0.00,0.00,4.30,7.10,5.20
Credit counselors and loan officers,13-2070,Summary,356.40,384.10,0.20,0.20,27.80,7.80,33.80
Credit counselors,13-2071,Line item,40.10,43.60,0.00,0.00,3.50,8.60,3.80
Loan officers,13-2072,Line item,316.20,340.60,0.20,0.20,24.30,7.70,29.90
"Tax examiners, collectors and preparers, and revenue agents",13-2080,Summary,144.70,148.20,0.10,0.10,3.40,2.40,15.20
"Tax examiners and collectors, and revenue agents",13-2081,Line item,58.20,56.80,0.00,0.00,-1.40,-2.40,4.60
Tax preparers,13-2082,Line item,86.60,91.40,0.10,0.10,4.80,5.60,10.60
"Financial specialists, all other",13-2099,Line item,144.10,153.00,0.10,0.10,8.90,6.20,13.70
Computer and mathematical occupations,15-0000,Summary,4674.40,5268.30,2.90,3.10,593.90,12.70,422.30
Computer occupations,15-1100,Summary,4490.10,5036.30,2.80,3.00,546.20,12.20,403.50
Computer and information research scientists,15-1111,Line item,31.70,37.00,0.00,0.00,5.20,16.50,3.20
Computer and information analysts,15-1120,Summary,746.20,837.60,0.50,0.50,91.50,12.30,66.20
Computer systems analysts,15-1121,Line item,633.90,689.90,0.40,0.40,56.00,8.80,53.40
Information security analysts,15-1122,Line item,112.30,147.70,0.10,0.10,35.50,31.60,12.80
Software developers and programmers,15-1130,Summary,1776.30,2063.30,1.10,1.20,287.10,16.20,164.80
Computer programmers,15-1131,Line item,250.30,232.30,0.20,0.10,-17.90,-7.20,15.10
"Software developers, applications",15-1132,Line item,944.20,1185.70,0.60,0.70,241.50,25.60,99.20
"Software developers, systems software",15-1133,Line item,421.30,463.90,0.30,0.30,42.60,10.10,35.40
Web developers,15-1134,Line item,160.50,181.40,0.10,0.10,20.90,13.00,15.10
Database and systems administrators and network architects,15-1140,Summary,660.20,697.30,0.40,0.40,37.10,5.60,51.20
Database administrators,15-1141,Line item,116.90,127.40,0.10,0.10,10.50,9.00,9.70
Network and computer systems administrators,15-1142,Line item,383.90,402.10,0.20,0.20,18.20,4.70,29.30
Computer network architects,15-1143,Line item,159.30,167.70,0.10,0.10,8.40,5.30,12.20
Computer support specialists,15-1150,Summary,863.10,946.20,0.50,0.60,83.10,9.60,82.50
Computer user support specialists,15-1151,Line item,671.80,742.70,0.40,0.40,70.90,10.60,65.10
Computer network support specialists,15-1152,Line item,191.30,203.40,0.10,0.10,12.20,6.40,17.40
"Computer occupations, all other",15-1199,Line item,412.80,455.00,0.30,0.30,42.20,10.20,35.70
Mathematical science occupations,15-2000,Summary,184.30,232.00,0.10,0.10,47.70,25.90,18.80
Actuaries,15-2011,Line item,25.00,30.00,0.00,0.00,5.00,20.10,2.20
Mathematicians,15-2021,Line item,2.90,3.60,0.00,0.00,0.80,26.00,0.30
Operations research analysts,15-2031,Line item,109.70,137.90,0.10,0.10,28.10,25.60,10.90
Statisticians,15-2041,Line item,44.40,58.00,0.00,0.00,13.60,30.70,5.30
Miscellaneous mathematical science occupations,15-2090,Line item,2.30,2.40,0.00,0.00,0.10,5.60,0.20
Architecture and engineering occupations,17-0000,Summary,2699.10,2812.40,1.70,1.70,113.30,4.20,226.60
"Architects, surveyors, and cartographers",17-1000,Summary,218.40,235.40,0.10,0.10,16.90,7.80,18.90
"Architects, except naval",17-1010,Summary,157.40,169.60,0.10,0.10,12.30,7.80,13.80
"Architects, except landscape and naval",17-1011,Line item,133.90,145.10,0.10,0.10,11.20,8.40,11.80
Landscape architects,17-1012,Line item,23.50,24.60,0.00,0.00,1.00,4.40,1.90
"Surveyors, cartographers, and photogrammetrists",17-1020,Summary,61.00,65.70,0.00,0.00,4.70,7.70,5.10
Cartographers and photogrammetrists,17-1021,Line item,11.80,13.50,0.00,0.00,1.70,14.70,1.10
Surveyors,17-1022,Line item,49.20,52.20,0.00,0.00,3.00,6.00,4.00
Engineers,17-2000,Summary,1779.30,1864.30,1.10,1.10,85.00,4.80,135.40
Aerospace engineers,17-2011,Line item,67.20,68.30,0.00,0.00,1.10,1.70,4.50
Agricultural engineers,17-2021,Line item,2.60,2.80,0.00,0.00,0.10,5.40,0.20
Biomedical engineers,17-2031,Line item,19.80,20.50,0.00,0.00,0.70,3.60,1.50
Chemical engineers,17-2041,Line item,33.90,36.00,0.00,0.00,2.10,6.30,2.40
Civil engineers,17-2051,Line item,326.80,347.30,0.20,0.20,20.50,6.30,28.30
Computer hardware engineers,17-2061,Line item,64.40,68.40,0.00,0.00,4.00,6.10,5.20
Electrical and electronics engineers,17-2070,Summary,330.30,338.30,0.20,0.20,8.00,2.40,22.90
Electrical engineers,17-2071,Line item,191.90,201.10,0.10,0.10,9.20,4.80,13.90
"Electronics engineers, except computer",17-2072,Line item,138.50,137.30,0.10,0.10,-1.20,-0.90,9.00
Environmental engineers,17-2081,Line item,55.40,58.30,0.00,0.00,2.90,5.10,4.60
"Industrial engineers, including health and safety",17-2110,Summary,311.60,336.80,0.20,0.20,25.10,8.10,24.60
"Health and safety engineers, except mining safety engineers and inspectors",17-2111,Line item,27.00,28.40,0.00,0.00,1.40,5.10,2.00
Industrial engineers,17-2112,Line item,284.60,308.40,0.20,0.20,23.80,8.30,22.60
Marine engineers and naval architects,17-2121,Line item,11.70,12.70,0.00,0.00,1.00,8.90,0.80
Materials engineers,17-2131,Line item,27.70,27.70,0.00,0.00,0.00,0.20,1.70
Mechanical engineers,17-2141,Line item,312.90,325.70,0.20,0.20,12.80,4.10,22.90
"Mining and geological engineers, including mining safety engineers",17-2151,Line item,5.90,6.10,0.00,0.00,0.20,2.60,0.50
Nuclear engineers,17-2161,Line item,17.70,17.60,0.00,0.00,-0.10,-0.50,1.10
Petroleum engineers,17-2171,Line item,33.50,34.30,0.00,0.00,0.90,2.60,2.50
"Engineers, all other",17-2199,Line item,157.80,163.50,0.10,0.10,5.70,3.60,11.70
"Drafters, engineering technicians, and mapping technicians",17-3000,Summary,701.40,712.70,0.40,0.40,11.30,1.60,72.30
Drafters,17-3010,Summary,199.90,199.20,0.10,0.10,-0.70,-0.40,20.50
Architectural and civil drafters,17-3011,Line item,101.20,103.00,0.10,0.10,1.80,1.80,10.70
Electrical and electronics drafters,17-3012,Line item,25.60,26.50,0.00,0.00,0.80,3.20,2.80
Mechanical drafters,17-3013,Line item,58.00,54.00,0.00,0.00,-4.00,-6.90,5.40
"Drafters, all other",17-3019,Line item,15.00,15.70,0.00,0.00,0.70,4.40,1.70
"Engineering technicians, except drafters",17-3020,Summary,444.80,453.70,0.30,0.30,8.90,2.00,44.70
Aerospace engineering and operations technicians,17-3021,Line item,10.50,11.00,0.00,0.00,0.50,4.50,1.10
Civil engineering technicians,17-3022,Line item,73.80,77.40,0.00,0.00,3.70,5.00,7.70
Electrical and electronics engineering technicians,17-3023,Line item,130.50,130.70,0.10,0.10,0.20,0.20,12.70
Electro-mechanical technicians,17-3024,Line item,14.00,14.10,0.00,0.00,0.10,0.70,1.40
Environmental engineering technicians,17-3025,Line item,17.90,19.50,0.00,0.00,1.50,8.60,2.00
Industrial engineering technicians,17-3026,Line item,68.30,67.80,0.00,0.00,-0.50,-0.80,6.60
Mechanical engineering technicians,17-3027,Line item,42.60,43.80,0.00,0.00,1.10,2.60,4.30
"Engineering technicians, except drafters, all other",17-3029,Line item,87.10,89.40,0.10,0.10,2.40,2.70,8.80
Surveying and mapping technicians,17-3031,Line item,56.80,59.90,0.00,0.00,3.10,5.40,7.20
"Life, physical, and social science occupations",19-0000,Summary,1322.70,1420.20,0.80,0.80,97.40,7.40,143.30
Life scientists,19-1000,Summary,332.80,354.10,0.20,0.20,21.30,6.40,34.30
Agricultural and food scientists,19-1010,Summary,35.60,38.00,0.00,0.00,2.30,6.60,4.30
Animal scientists,19-1011,Line item,2.70,2.80,0.00,0.00,0.20,7.20,0.30
Food scientists and technologists,19-1012,Line item,14.90,15.70,0.00,0.00,0.80,5.30,1.80
Soil and plant scientists,19-1013,Line item,18.00,19.40,0.00,0.00,1.40,7.60,2.20
Biological scientists,19-1020,Summary,118.40,125.00,0.10,0.10,6.50,5.50,11.80
Biochemists and biophysicists,19-1021,Line item,30.40,32.30,0.00,0.00,1.90,6.30,3.10
Microbiologists,19-1022,Line item,21.70,22.70,0.00,0.00,1.10,4.90,2.10
Zoologists and wildlife biologists,19-1023,Line item,19.30,20.20,0.00,0.00,0.90,4.70,1.90
"Biological scientists, all other",19-1029,Line item,47.10,49.80,0.00,0.00,2.70,5.60,4.70
Conservation scientists and foresters,19-1030,Summary,32.90,33.90,0.00,0.00,1.00,3.10,3.60
Conservation scientists,19-1031,Line item,23.80,24.70,0.00,0.00,0.90,3.70,2.60
Foresters,19-1032,Line item,9.00,9.20,0.00,0.00,0.10,1.30,1.00
Medical scientists,19-1040,Summary,138.30,149.20,0.10,0.10,11.00,7.90,13.90
Epidemiologists,19-1041,Line item,7.60,8.00,0.00,0.00,0.40,5.30,0.70
"Medical scientists, except epidemiologists",19-1042,Line item,130.70,141.20,0.10,0.10,10.60,8.10,13.20
"Life scientists, all other",19-1099,Line item,7.60,8.00,0.00,0.00,0.40,5.90,0.70
Physical scientists,19-2000,Summary,270.90,287.00,0.20,0.20,16.20,6.00,28.80
Astronomers and physicists,19-2010,Summary,21.60,23.50,0.00,0.00,1.90,8.90,2.00
Astronomers,19-2011,Line item,2.40,2.50,0.00,0.00,0.10,4.70,0.20
Physicists,19-2012,Line item,19.20,21.00,0.00,0.00,1.80,9.50,1.80
Atmospheric and space scientists,19-2021,Line item,10.00,10.80,0.00,0.00,0.80,8.40,1.10
Chemists and materials scientists,19-2030,Summary,95.80,99.30,0.10,0.10,3.50,3.70,9.10
Chemists,19-2031,Line item,87.70,90.90,0.10,0.10,3.30,3.70,8.40
Materials scientists,19-2032,Line item,8.10,8.30,0.00,0.00,0.20,3.00,0.80
Environmental scientists and geoscientists,19-2040,Summary,122.70,131.90,0.10,0.10,9.20,7.50,14.70
"Environmental scientists and specialists, including health",19-2041,Line item,85.00,92.00,0.10,0.10,7.00,8.20,10.30
"Geoscientists, except hydrologists and geographers",19-2042,Line item,31.00,32.80,0.00,0.00,1.80,5.70,3.60
Hydrologists,19-2043,Line item,6.70,7.10,0.00,0.00,0.40,6.50,0.80
"Physical scientists, all other",19-2099,Line item,20.90,21.60,0.00,0.00,0.70,3.40,1.90
Social scientists and related workers,19-3000,Summary,314.40,350.10,0.20,0.20,35.70,11.40,31.20
Economists,19-3011,Line item,21.00,22.80,0.00,0.00,1.70,8.10,1.80
Survey researchers,19-3022,Line item,12.60,12.80,0.00,0.00,0.10,1.20,1.50
Psychologists,19-3030,Summary,181.70,207.80,0.10,0.10,26.10,14.40,16.20
"Clinical, counseling, and school psychologists",19-3031,Line item,162.00,185.80,0.10,0.10,23.80,14.70,14.60
Industrial-organizational psychologists,19-3032,Line item,1.40,1.60,0.00,0.00,0.20,12.80,0.10
"Psychologists, all other",19-3039,Line item,18.30,20.40,0.00,0.00,2.10,11.60,1.60
Sociologists,19-3041,Line item,3.00,3.30,0.00,0.00,0.30,8.90,0.40
Urban and regional planners,19-3051,Line item,39.10,43.30,0.00,0.00,4.20,10.70,4.20
Miscellaneous social scientists and related workers,19-3090,Summary,56.90,60.20,0.00,0.00,3.30,5.90,7.00
Anthropologists and archeologists,19-3091,Line item,6.50,7.10,0.00,0.00,0.60,9.90,0.80
Geographers,19-3092,Line item,1.50,1.60,0.00,0.00,0.00,3.20,0.20
Historians,19-3093,Line item,3.30,3.50,0.00,0.00,0.20,6.30,0.40
Political scientists,19-3094,Line item,6.20,6.50,0.00,0.00,0.30,5.30,0.80
"Social scientists and related workers, all other",19-3099,Line item,39.40,41.50,0.00,0.00,2.10,5.30,4.80
"Life, physical, and social science technicians",19-4000,Summary,404.60,428.90,0.30,0.30,24.20,6.00,49.00
Agricultural and food science technicians,19-4011,Line item,29.20,31.00,0.00,0.00,1.80,6.10,3.80
Biological technicians,19-4021,Line item,85.00,90.70,0.10,0.10,5.70,6.80,9.80
Chemical technicians,19-4031,Line item,70.30,71.50,0.00,0.00,1.20,1.70,7.20
Geological and petroleum technicians,19-4041,Line item,16.30,17.40,0.00,0.00,1.10,6.60,1.80
Nuclear technicians,19-4051,Line item,7.60,7.30,0.00,0.00,-0.30,-4.10,0.90
Social science research assistants,19-4061,Line item,39.60,43.10,0.00,0.00,3.60,9.00,5.30
"Miscellaneous life, physical, and social science technicians",19-4090,Summary,156.60,167.80,0.10,0.10,11.20,7.20,20.30
"Environmental science and protection technicians, including health",19-4091,Line item,34.80,38.00,0.00,0.00,3.20,9.20,4.60
Forensic science technicians,19-4092,Line item,16.70,19.10,0.00,0.00,2.40,14.40,2.40
Forest and conservation technicians,19-4093,Line item,32.70,33.30,0.00,0.00,0.60,1.70,4.00
"Life, physical, and social science technicians, all other",19-4099,Line item,72.40,77.40,0.00,0.00,5.10,7.00,9.40
Community and social service occupations,21-0000,Summary,2730.10,3036.40,1.70,1.80,306.20,11.20,336.90
"Counselors, social workers, and other community and social service specialists",21-1000,Summary,2276.80,2558.90,1.40,1.50,282.10,12.40,280.20
Counselors,21-1010,Summary,834.00,956.90,0.50,0.60,122.90,14.70,103.90
"Educational, guidance, school, and vocational counselors",21-1012,Line item,324.50,351.70,0.20,0.20,27.20,8.40,37.30
Marriage and family therapists,21-1013,Line item,55.30,67.70,0.00,0.00,12.30,22.30,7.50
Rehabilitation counselors,21-1015,Line item,119.70,131.50,0.10,0.10,11.80,9.80,14.00
"Substance abuse, behavioral disorder, and mental health counselors",21-1018,Line item,304.50,373.10,0.20,0.20,68.50,22.50,41.50
"Counselors, all other",21-1019,Line item,29.80,32.90,0.00,0.00,3.10,10.50,3.50
Social workers,21-1020,Summary,707.40,788.60,0.40,0.50,81.20,11.50,81.10
"Child, family, and school social workers",21-1021,Line item,339.80,364.60,0.20,0.20,24.80,7.30,36.90
Healthcare social workers,21-1022,Line item,180.50,211.10,0.10,0.10,30.60,17.00,22.20
Mental health and substance abuse social workers,21-1023,Line item,125.20,147.50,0.10,0.10,22.30,17.80,15.50
"Social workers, all other",21-1029,Line item,62.00,65.40,0.00,0.00,3.50,5.60,6.60
Miscellaneous community and social service specialists,21-1090,Summary,735.40,813.40,0.50,0.50,78.00,10.60,95.20
Health educators,21-1091,Line item,62.10,68.50,0.00,0.00,6.40,10.30,8.00
Probation officers and correctional treatment specialists,21-1092,Line item,91.60,94.60,0.10,0.10,3.00,3.30,8.20
Social and human service assistants,21-1093,Line item,413.70,466.00,0.30,0.30,52.20,12.60,57.50
Community health workers,21-1094,Line item,61.70,69.40,0.00,0.00,7.70,12.50,8.20
"Community and social service specialists, all other",21-1099,Line item,106.30,114.90,0.10,0.10,8.60,8.10,13.30
Religious workers,21-2000,Summary,453.30,477.50,0.30,0.30,24.20,5.30,56.60
Clergy,21-2011,Line item,234.00,247.80,0.10,0.10,13.80,5.90,27.50
"Directors, religious activities and education",21-2021,Line item,159.00,166.30,0.10,0.10,7.40,4.60,20.90
"Religious workers, all other",21-2099,Line item,60.40,63.40,0.00,0.00,3.00,5.00,8.30
Legal occupations,23-0000,Summary,1346.00,1439.30,0.80,0.80,93.30,6.90,101.20
"Lawyers, judges, and related workers",23-1000,Summary,893.80,946.30,0.60,0.60,52.50,5.90,49.30
Lawyers and judicial law clerks,23-1010,Summary,841.00,891.70,0.50,0.50,50.70,6.00,46.50
Lawyers,23-1011,Line item,823.90,874.00,0.50,0.50,50.10,6.10,45.70
Judicial law clerks,23-1012,Line item,17.10,17.70,0.00,0.00,0.60,3.30,0.80
"Judges, magistrates, and other judicial workers",23-1020,Summary,52.80,54.60,0.00,0.00,1.80,3.40,2.80
"Administrative law judges, adjudicators, and hearing officers",23-1021,Line item,15.20,15.50,0.00,0.00,0.30,1.70,0.80
"Arbitrators, mediators, and conciliators",23-1022,Line item,7.70,8.30,0.00,0.00,0.60,7.80,0.40
"Judges, magistrate judges, and magistrates",23-1023,Line item,29.80,30.80,0.00,0.00,0.90,3.10,1.50
Legal support workers,23-2000,Summary,452.20,493.00,0.30,0.30,40.80,9.00,51.90
Paralegals and legal assistants,23-2011,Line item,325.70,364.80,0.20,0.20,39.00,12.00,40.40
Miscellaneous legal support workers,23-2090,Summary,126.50,128.20,0.10,0.10,1.80,1.40,11.50
Court reporters,23-2091,Line item,15.70,16.80,0.00,0.00,1.10,7.00,1.60
"Title examiners, abstractors, and searchers",23-2093,Line item,62.60,62.50,0.00,0.00,-0.10,-0.10,5.50
"Legal support workers, all other",23-2099,Line item,48.10,48.90,0.00,0.00,0.80,1.60,4.40
"Education, training, and library occupations",25-0000,Summary,9647.40,10160.30,6.00,6.00,512.90,5.30,937.00
Postsecondary teachers,25-1000,Summary,1888.80,2059.10,1.20,1.20,170.40,9.00,180.20
"Business teachers, postsecondary",25-1011,Line item,108.00,123.90,0.10,0.10,15.90,14.70,11.20
"Math and computer teachers, postsecondary",25-1020,Summary,101.40,104.80,0.10,0.10,3.40,3.40,8.90
"Computer science teachers, postsecondary",25-1021,Line item,40.20,41.90,0.00,0.00,1.70,4.20,3.60
"Mathematical science teachers, postsecondary",25-1022,Line item,61.10,62.90,0.00,0.00,1.70,2.90,5.30
"Engineering and architecture teachers, postsecondary",25-1030,Summary,56.40,62.40,0.00,0.00,6.00,10.70,5.50
"Architecture teachers, postsecondary",25-1031,Line item,8.90,9.60,0.00,0.00,0.70,7.70,0.80
"Engineering teachers, postsecondary",25-1032,Line item,47.50,52.80,0.00,0.00,5.30,11.20,4.70
"Life sciences teachers, postsecondary",25-1040,Summary,80.40,88.60,0.00,0.10,8.20,10.30,7.80
"Agricultural sciences teachers, postsecondary",25-1041,Line item,13.30,13.90,0.00,0.00,0.60,4.30,1.20
"Biological science teachers, postsecondary",25-1042,Line item,64.50,72.00,0.00,0.00,7.60,11.70,6.40
"Forestry and conservation science teachers, postsecondary",25-1043,Line item,2.60,2.70,0.00,0.00,0.10,4.60,0.20
"Physical sciences teachers, postsecondary",25-1050,Summary,64.90,68.80,0.00,0.00,3.90,5.90,5.90
"Atmospheric, earth, marine, and space sciences teachers, postsecondary",25-1051,Line item,13.40,13.90,0.00,0.00,0.60,4.30,1.20
"Chemistry teachers, postsecondary",25-1052,Line item,26.70,28.40,0.00,0.00,1.70,6.30,2.40
"Environmental science teachers, postsecondary",25-1053,Line item,7.60,8.00,0.00,0.00,0.50,6.00,0.70
"Physics teachers, postsecondary",25-1054,Line item,17.30,18.40,0.00,0.00,1.10,6.50,1.60
"Social sciences teachers, postsecondary",25-1060,Summary,147.20,158.60,0.10,0.10,11.40,7.80,13.80
"Anthropology and archeology teachers, postsecondary",25-1061,Line item,7.30,7.80,0.00,0.00,0.50,6.70,0.70
"Area, ethnic, and cultural studies teachers, postsecondary",25-1062,Line item,12.60,13.50,0.00,0.00,0.90,7.00,1.20
"Economics teachers, postsecondary",25-1063,Line item,16.40,17.70,0.00,0.00,1.30,7.90,1.50
"Geography teachers, postsecondary",25-1064,Line item,4.80,5.10,0.00,0.00,0.20,4.60,0.40
"Political science teachers, postsecondary",25-1065,Line item,20.30,21.80,0.00,0.00,1.50,7.60,1.90
"Psychology teachers, postsecondary",25-1066,Line item,47.90,53.50,0.00,0.00,5.60,11.70,4.80
"Sociology teachers, postsecondary",25-1067,Line item,17.40,18.50,0.00,0.00,1.10,6.30,1.60
"Social sciences teachers, postsecondary, all other",25-1069,Line item,20.40,20.70,0.00,0.00,0.30,1.40,1.70
"Health teachers, postsecondary",25-1070,Summary,323.80,396.70,0.20,0.20,72.90,22.50,37.10
"Health specialties teachers, postsecondary",25-1071,Line item,254.80,313.90,0.20,0.20,59.10,23.20,29.40
"Nursing instructors and teachers, postsecondary",25-1072,Line item,69.00,82.80,0.00,0.00,13.80,20.00,7.70
"Education and library science teachers, postsecondary",25-1080,Summary,84.30,90.70,0.10,0.10,6.40,7.60,7.90
"Education teachers, postsecondary",25-1081,Line item,78.60,84.70,0.00,0.00,6.10,7.80,7.40
"Library science teachers, postsecondary",25-1082,Line item,5.70,6.00,0.00,0.00,0.30,5.40,0.50
"Law, criminal justice, and social work teachers, postsecondary",25-1110,Summary,57.30,62.40,0.00,0.00,5.10,8.90,5.50
"Criminal justice and law enforcement teachers, postsecondary",25-1111,Line item,18.10,19.60,0.00,0.00,1.50,8.10,1.70
"Law teachers, postsecondary",25-1112,Line item,23.10,25.50,0.00,0.00,2.40,10.30,2.20
"Social work teachers, postsecondary",25-1113,Line item,16.10,17.30,0.00,0.00,1.20,7.70,1.50
"Arts, communications, and humanities teachers, postsecondary",25-1120,Summary,327.00,348.90,0.20,0.20,21.90,6.70,30.10
"Art, drama, and music teachers, postsecondary",25-1121,Line item,118.90,128.20,0.10,0.10,9.30,7.90,11.10
